tweetDate,handle,text
Sat Apr 09 14:47:45 +0000 2022,abelac62,"He hecho el repaso de todos los componentes del #IBEX35 y ahora me pongo con lo de La Chiqui. Si mañana tengo tiempo, publicaré algún activo interesante del mercado europeo y americano. Buen fin de semana."
Thu Apr 07 19:14:36 +0000 2022,LluisPerarnau,"Els projectes que han presentat les empreses del #Ibex35 als fons #NextGenerationEU: 
Endesa 110 projectes, 19.000 M €
Iberdrola 150 projectes, 21.000 M
Naturgy 13.000 M
ACS 4.500 M
...i així fins a sumar 100.000 M € per als grups oligàrquics de sempre."
Mon Apr 04 16:48:45 +0000 2022,Pegaso121080,"Por si no lo has visto, o no lo encuentras en búsquedas que suele pasar 🤔
#Analisis y niveles del #Ibex35 y varias #Acciones en #Youtube 
#Ezentis #AedasHomes #LLeidanet #Merlinpropertis #BBVA y otras muchas en el canal 🧐
🙏Espero que guste y/o ayude 🔄
https://t.co/6yqA0TbRJY"
Tue Apr 05 07:23:16 +0000 2022,zonavalue,"📈 #BOLSA: El #Ibex35 abre en 🟢 

🇪🇸 #Ibex35 🔼  +0,10% (8.527,8 puntos)

Mayores subidas
#Aena 🔼+1,40%
#SiemensGamesa 🔼+1,07%
#Cellnex 🔼+0,86% https://t.co/LxHqCPzPtP"
Thu Mar 31 16:07:43 +0000 2022,EPeconomia,"El #Ibex35 retrocede un 0,4% en marzo y un 3,08% en el primer trimestre de 2022
https://t.co/wSm71JLkOr https://t.co/fttYtU1p0k"
Fri Apr 08 07:44:03 +0000 2022,IndraCompany,"Repetimos un año más como la mejor compañía del #Ibex35 en la que trabajar y la segunda en España en el #LinkedInTopCompanies 2022. 
Vía @CincoDiascom https://t.co/6J2d60quFW"
Tue Apr 05 20:30:47 +0000 2022,Bolsacarlosmari,"#Ibex35 se agota el margen para subir, cuidado que el resto de los mercados tienen señales de caídas como así han empezado hoy. https://t.co/Q72aXubaG0"
Fri Apr 08 18:15:19 +0000 2022,Bolsacarlosmari,"#Ibex35 con el sentimiento negativo que hay, los mercados no caen y al menos, el nuestro tiene margen para subir, velas semanales. https://t.co/ZEq7L60L7k"
Thu Mar 31 14:57:52 +0000 2022,CAPITALRADIOB,"🔴 ANÁLISIS | También hemos dejado un hueco a la última hora del #IBEX35

➡️ Con @juanestevee de @kaumarkets 

 🎙 Aquí te dejamos su análisis 👉 https://t.co/QiGi6vTkMA https://t.co/10rUIyXJt8"
Wed Mar 16 17:39:15 +0000 2022,Tanyada_Ed,"🌿 ""Dels FLA als Next Genration: Recrudescència de la recentralització estatal contra els Països Catalans"" altre cop de la mà d'@ivallets, per entendre en profunditat el paper dels fons en la reestructuració del capitalisme i el centralisme."
